vehicle_id,trip_id,timestamp,speed,lat,lon,bearing
SCS23,weekday_2063,1748448038,25.0,2.831853,101.827095,0.0
SCS23,weekday_2063,1748448098,0.0,2.829912,101.82671,0.0
SCS23,weekday_2063,1748448158,22.0,2.827232,101.82602,0.0
SCS23,weekday_2063,1748448241,84.0,2.81801,101.81653,0.0
SCS23,weekday_2063,1748448288,76.0,2.812975,101.809616,0.0
SCS23,weekday_2063,1748448348,76.0,2.804162,101.80144,0.0
SCS23,weekday_2063,1748448408,0.0,2.801788,101.79925,0.0
SCS23,weekday_2063,1748448460,70.0,2.79753,101.79634,0.0
SCS23,weekday_2063,1748448507,112.0,2.78613,101.7987,0.0
SCS23,weekday_2063,1748448567,100.0,2.770868,101.804115,0.0
SCS23,weekday_2063,1748448652,81.0,2.757645,101.81436,0.0
SCS23,weekday_2063,1748448712,22.0,2.75491,101.82346,0.0
SCS23,weekday_2063,1748448772,21.0,2.754165,101.826225,0.0
SCS23,weekday_2063,1748448832,0.0,2.753873,101.82721,0.0
SCS23,weekday_2063,1748448892,20.0,2.753172,101.8298,0.0
SCS23,weekday_2063,1748448952,24.0,2.752277,101.83284,0.0
SCS23,weekday_2063,1748449042,108.0,2.747508,101.84983,0.0
SCS23,weekday_2063,1748449072,108.0,2.745363,101.857445,0.0
SCS23,weekday_2063,1748449132,48.0,2.741453,101.87131,0.0
SCS23,weekday_2063,1748449192,25.0,2.741005,101.872925,0.0
SCS23,weekday_2063,1748449252,21.0,2.739195,101.87938,0.0
SCS23,weekday_2063,1748449312,21.0,2.73854,101.882,0.0
SCS23,weekday_2063,1748449372,46.0,2.73965,101.88694,0.0
SCS23,weekday_2063,1748449432,14.0,2.741128,101.89144,0.0
SCS23,weekday_2063,1748449472,57.0,2.739273,101.8938,0.0
SCS23,weekday_2063,1748449532,73.0,2.730767,101.89901,0.0
SCS23,weekday_2063,1748449607,77.0,2.725385,101.91153,0.0
SCS23,weekday_2063,1748449667,51.0,2.723467,101.91984,0.0
SCS23,weekday_2063,1748449667,51.0,2.723467,101.91984,0.0
SCS18,2941,1748467237,0.0,6.662908,100.320435,0.0
SCS18,2941,1748467297,27.0,6.661053,100.31794,0.0
SCS18,2941,1748467357,50.0,6.656953,100.312256,0.0
SCS18,2941,1748467447,84.0,6.649678,100.300705,0.0
SCS18,2941,1748467477,92.0,6.647007,100.29427,0.0
SCS18,2941,1748467567,26.0,6.639232,100.28378,0.0
SCS18,2941,1748467597,27.0,6.638015,100.282135,0.0
SCS18,2941,1748467657,27.0,6.635438,100.278694,0.0
SCS18,2941,1748467717,25.0,6.633018,100.275406,0.0
SCS18,2941,1748467777,24.0,6.630733,100.27234,0.0
SCS23,weekday_2002,1748467828,0.0,2.660107,101.99648,0.0
SCS18,2941,1748467837,53.0,6.627663,100.268715,0.0
SCS23,weekday_2002,1748467888,0.0,2.660107,101.99648,0.0
SCS18,2941,1748467897,112.0,6.614783,100.264435,0.0
SCS18,2941,1748467957,108.0,6.598095,100.26323,0.0
SCS23,weekday_2002,1748467974,34.0,2.661522,101.99513,0.0
SCS18,2941,1748468017,120.0,6.580512,100.26203,0.0
SCS23,weekday_2002,1748468034,95.0,2.670065,101.98954,0.0
SCS23,weekday_2002,1748468065,95.0,2.673545,101.98339,0.0
SCS18,2941,1748468077,122.0,6.562513,100.259346,0.0
SCS18,2941,1748468137,113.0,6.544777,100.26005,0.0
SCS23,weekday_2002,1748468137,77.0,2.68527,101.97391,0.0
SCS23,weekday_2002,1748468197,0.0,2.690055,101.97192,0.0
SCS18,2941,1748468197,84.0,6.529293,100.257835,0.0
SCS23,weekday_2002,1748468257,52.0,2.691558,101.97138,0.0
SCS18,2941,1748468257,0.0,6.52434,100.25702,0.0
SCS18,2941,1748468347,112.0,6.513343,100.25515,0.0
SCS23,weekday_2002,1748468364,87.0,2.705573,101.95334,0.0
SCS18,2941,1748468377,109.0,6.505055,100.253716,0.0
SCS23,weekday_2002,1748468394,84.0,2.711587,101.950615,0.0
SCS23,weekday_2002,1748468484,0.0,2.71833,101.941185,0.0
SCS18,2941,1748468467,110.0,6.480257,100.25369,0.0
SCS18,2941,1748468497,109.0,6.472073,100.25452,0.0
SCS23,weekday_2002,1748468514,0.0,2.71833,101.941185,0.0
SCS18,2941,1748468557,109.0,6.456423,100.2599,0.0
SCS23,weekday_2002,1748468574,0.0,2.71833,101.941185,0.0
SCS23,weekday_2002,1748468634,36.0,2.719992,101.93807,0.0
SCS18,2941,1748468617,109.0,6.44076,100.2653,0.0
SCS18,2941,1748468677,0.0,6.432517,100.26816,0.0
SCS23,weekday_2002,1748468694,72.0,2.722308,101.930115,0.0
SCS23,weekday_2002,1748468731,59.0,2.724113,101.92457,0.0
SCS18,2941,1748468737,0.0,6.431977,100.26835,0.0
SCS18,2941,1748468797,108.0,6.422408,100.27163,0.0
SCS23,weekday_2002,1748468791,68.0,2.725453,101.91612,0.0
SCS18,2941,1748468857,110.0,6.406575,100.277084,0.0
SCS23,weekday_2002,1748468864,91.0,2.727648,101.90145,0.0
SCS18,2941,1748468917,109.0,6.3929,100.286316,0.0
SCS23,weekday_2002,1748468924,11.0,2.733312,101.89705,0.0
SCS18,2941,1748469007,62.0,6.374513,100.30006,0.0
SCS23,weekday_2002,1748469014,47.0,2.736565,101.89496,0.0
SCS18,2941,1748469037,23.0,6.371665,100.30217,0.0
SCS23,weekday_2002,1748469052,69.0,2.741105,101.89137,0.0
SCS23,weekday_2002,1748469121,19.0,2.738443,101.8833,0.0
SCS18,2941,1748469127,47.0,6.370023,100.3034,0.0
SCS23,weekday_2002,1748469151,32.0,2.738598,101.88154,0.0
SCS18,2941,1748469157,100.0,6.365267,100.30695,0.0
SCS23,weekday_2002,1748469241,0.0,2.741118,101.872505,0.0
SCS18,2941,1748469247,105.0,6.345947,100.32141,0.0
SCS23,weekday_2002,1748469271,21.0,2.741187,101.872215,0.0
SCS18,2941,1748469277,110.0,6.339315,100.326355,0.0
SCS23,weekday_2002,1748469361,65.0,2.745278,101.85768,0.0
SCS18,2941,1748469367,109.0,6.319385,100.34125,0.0
SCS23,weekday_2002,1748469391,42.0,2.746403,101.85369,0.0
SCS18,2941,1748469397,109.0,6.312097,100.34494,0.0
SCS23,weekday_2002,1748469451,76.0,2.748485,101.84621,0.0
SCS18,2941,1748469457,109.0,6.295863,100.348274,0.0
SCS23,weekday_2002,1748469511,37.0,2.751122,101.83681,0.0
SCS18,2941,1748469517,109.0,6.279618,100.3516,0.0
SCS23,weekday_2002,1748469571,27.0,2.752158,101.8331,0.0
SCS18,2941,1748469577,109.0,6.263425,100.354904,0.0
SCS23,weekday_2002,1748469631,22.0,2.753457,101.82835,0.0
SCS18,2941,1748469637,109.0,6.247187,100.358215,0.0
SCS23,weekday_2002,1748469691,25.0,2.753838,101.827065,0.0
SCS18,2941,1748469697,104.0,6.231238,100.361465,0.0
SCS23,weekday_2002,1748469751,63.0,2.755243,101.82212,0.0
SCS18,2941,1748469757,110.0,6.215103,100.36475,0.0
SCS18,2941,1748469817,110.0,6.198898,100.36806,0.0
SCS23,weekday_2002,1748469832,95.0,2.76447,101.80752,0.0
SCS18,2941,1748469907,0.0,6.183773,100.37455,0.0
SCS23,weekday_2002,1748469922,102.0,2.784967,101.79905,0.0
SCS23,weekday_2002,1748469952,96.0,2.792043,101.79652,0.0
SCS18,2941,1748469937,0.0,6.183775,100.37455,0.0
SCS23,weekday_2002,1748470015,15.0,2.80177,101.79921,0.0
SCS18,2941,1748469997,73.0,6.178483,100.37755,0.0
SCS18,2941,1748470057,111.0,6.163228,100.37923,0.0
SCS23,weekday_2002,1748470075,19.0,2.802032,101.799446,0.0
SCS18,2941,1748470117,120.0,6.145548,100.38046,0.0
SCS23,weekday_2002,1748470135,73.0,2.808773,101.80564,0.0
SCS23,weekday_2002,1748470178,70.0,2.81409,101.81114,0.0
SCS18,2941,1748470177,120.0,6.12826,100.376595,0.0
SCS23,weekday_2002,1748470230,74.0,2.820065,101.818275,0.0
SCS18,2941,1748470237,50.0,6.115208,100.37064,0.0
SCS23,weekday_2002,1748470290,22.0,2.825362,101.824165,0.0
SCS18,2941,1748470297,0.0,6.113572,100.36991,0.0
SCS23,weekday_2002,1748470350,22.0,2.827802,101.82628,0.0
SCS18,2941,1748470357,88.0,6.107677,100.36723,0.0
SCS23,weekday_2002,1748470410,0.0,2.829928,101.82677,0.0
SCS18,2941,1748470417,110.0,6.092958,100.37258,0.0
SCS23,weekday_2002,1748470470,0.0,2.829928,101.82677,0.0
SCS18,2941,1748470477,115.0,6.078393,100.38053,0.0
SCS23,weekday_2002,1748470560,0.0,2.829928,101.82677,0.0
SCS18,2941,1748470567,120.0,6.054843,100.39387,0.0
SCS23,weekday_2002,1748470590,0.0,2.829928,101.82677,0.0
SCS18,2941,1748470597,119.0,6.047012,100.3983,0.0
SCS23,weekday_2002,1748470680,0.0,2.829928,101.82677,0.0
SCS18,2941,1748470687,120.0,6.023907,100.41137,0.0
SCS23,weekday_2002,1748470710,0.0,2.829928,101.82677,0.0
SCS18,2941,1748470717,119.0,6.016002,100.41583,0.0
SCS23,weekday_2002,1748470770,0.0,2.829928,101.82677,0.0
SCS18,2941,1748470777,119.0,6.000285,100.424706,0.0
SCS23,weekday_2002,1748470830,0.0,2.829928,101.82677,0.0
SCS18,2941,1748470837,112.0,5.984897,100.433395,0.0
SCS09,2947,1748470836,0.0,6.663122,100.32074,0.0
SCS23,weekday_2002,1748470890,0.0,2.829928,101.82677,0.0
SCS09,2947,1748470896,13.0,6.66303,100.32053,0.0
SCS18,2941,1748470897,45.0,5.973702,100.43972,0.0
SCS18,2941,1748470957,4.0,5.972587,100.44033,0.0
SCS09,2947,1748470956,56.0,6.659185,100.31569,0.0
SCS23,weekday_2002,1748470950,0.0,2.829928,101.82677,0.0
SCS23,weekday_2002,1748471040,0.0,2.829928,101.82677,0.0
SCS18,2941,1748471047,118.0,5.958473,100.44831,0.0
SCS09,2947,1748471056,106.0,6.650267,100.302284,0.0
SCS23,weekday_2002,1748471070,0.0,2.829928,101.82677,0.0
SCS09,2947,1748471076,122.0,6.648497,100.296684,0.0
SCS18,2941,1748471077,121.0,5.950508,100.452805,0.0
SCS18,2941,1748471167,109.0,5.926697,100.463615,0.0
SCS09,2947,1748471176,35.0,6.638457,100.282715,0.0
SCS23,weekday_2002,1748471160,0.0,2.829928,101.82677,0.0
SCS27,2944,1748471162,26.0,5.392308,100.36772,0.0
SCS27,2944,1748471192,24.0,5.391232,100.36932,0.0
SCS23,weekday_2002,1748471190,0.0,2.829928,101.82677,0.0
SCS18,2941,1748471197,109.0,5.919003,100.46658,0.0
SCS09,2947,1748471196,35.0,6.637357,100.28124,0.0
SCS09,2947,1748471296,33.0,6.632218,100.27433,0.0
SCS23,weekday_2002,1748471280,0.0,2.829878,101.82669,0.0
SCS27,2944,1748471282,49.0,5.387085,100.374084,0.0
SCS18,2941,1748471287,110.0,5.895815,100.47551,0.0
SCS27,2944,1748471312,73.0,5.385327,100.3778,0.0
SCS23,weekday_2002,1748471310,0.0,2.829878,101.82669,0.0
SCS18,2941,1748471317,109.0,5.887747,100.47698,0.0
SCS09,2947,1748471316,33.0,6.631205,100.272964,0.0
SCS27,2944,1748471372,105.0,5.3782,100.39119,0.0
SCS23,weekday_2002,1748471370,0.0,2.829878,101.82669,0.0
SCS09,2947,1748471376,92.0,6.626147,100.26757,0.0
SCS18,2941,1748471377,110.0,5.871178,100.476944,0.0
SCS27,2944,1748471432,102.0,5.370888,100.40516,0.0
SCS23,weekday_2002,1748471430,0.0,2.829878,101.82669,0.0
SCS18,2941,1748471437,110.0,5.854673,100.47692,0.0
SCS09,2947,1748471436,123.0,6.609295,100.263664,0.0
SCS23,weekday_2002,1748471490,0.0,2.829878,101.82669,0.0
SCS18,2941,1748471497,107.0,5.838092,100.476875,0.0
SCS09,2947,1748471496,120.0,6.591268,100.2631,0.0
SCS27,2944,1748471492,65.0,5.365957,100.417816,0.0
SCS23,weekday_2002,1748471550,0.0,2.829878,101.82669,0.0
SCS27,2944,1748471552,0.0,5.364797,100.420845,0.0
SCS18,2941,1748471557,30.0,5.825937,100.47789,0.0
SCS09,2947,1748471556,123.0,6.573417,100.25974,0.0
SCS23,weekday_2002,1748471610,0.0,2.829878,101.82669,0.0
SCS18,2941,1748471617,5.0,5.824887,100.477974,0.0
SCS09,2947,1748471616,119.0,6.554972,100.25964,0.0
SCS27,2944,1748471635,102.0,5.362283,100.42965,0.0
SCS18,2941,1748471677,86.0,5.817292,100.478584,0.0
SCS09,2947,1748471676,121.0,6.536982,100.25918,0.0
SCS27,2944,1748471690,85.0,5.367042,100.44269,0.0
SCS23,weekday_2002,1748471670,0.0,2.829878,101.82669,0.0
SCS27,2944,1748471750,0.0,5.366462,100.44729,0.0
SCS23,weekday_2002,1748471730,0.0,2.829878,101.82669,0.0
SCS18,2941,1748471737,120.0,5.801267,100.48162,0.0
SCS09,2947,1748471736,24.0,6.524695,100.257095,0.0
SCS09,2947,1748471796,73.0,6.522027,100.256645,0.0
SCS27,2944,1748471810,37.0,5.36632,100.448265,0.0
SCS23,weekday_2002,1748471790,0.0,2.829878,101.82669,0.0
SCS18,2941,1748471797,119.0,5.784378,100.48827,0.0
SCS18,2941,1748471857,121.0,5.76739,100.49525,0.0
SCS09,2947,1748471856,119.0,6.505642,100.25384,0.0
SCS27,2944,1748471870,55.0,5.364368,100.457466,0.0
SCS23,weekday_2002,1748471850,0.0,2.829878,101.82669,0.0
SCS23,weekday_2002,1748471910,0.0,2.829878,101.82669,0.0
SCS18,2941,1748471917,123.0,5.750527,100.50323,0.0
SCS09,2947,1748471916,119.0,6.487607,100.25358,0.0
SCS27,2944,1748471926,52.0,5.359117,100.46231,0.0
SCS23,weekday_2002,1748471970,0.0,2.829878,101.82669,0.0
SCS18,2941,1748471977,119.0,5.73358,100.509766,0.0
SCS27,2944,1748471977,53.0,5.358798,100.46673,0.0
SCS09,2947,1748471976,120.0,6.469775,100.25531,0.0
SCS18,2941,1748472037,119.0,5.716295,100.513794,0.0
SCS27,2944,1748472037,121.0,5.372622,100.468414,0.0
SCS09,2947,1748472036,119.0,6.452695,100.2612,0.0
