vehicle_id,trip_id,timestamp,speed,lat,lon,bearing
SCS21,weekday_2067,1759939204,5.0,2.714952,101.94572,0.0
SCS21,weekday_2067,1759939244,8.0,2.715675,101.9447,0.0
SCS21,weekday_2067,1759939324,21.0,2.717448,101.94243,0.0
SCS21,weekday_2067,1759939384,10.0,2.71865,101.940475,0.0
SCS21,weekday_2067,1759939404,0.0,2.718975,101.94,0.0
SCS32,weekday_2003,1759957388,0.0,3.181585,101.68846,0.0
SCS32,weekday_2003,1759957418,0.0,3.181585,101.68846,0.0
SCS32,weekday_2003,1759957508,13.0,3.179365,101.68748,0.0
SCS32,weekday_2003,1759957568,24.0,3.175957,101.6856,0.0
EMU32,2900,1759957567,112.0,4.839778,101.01384,0.0
SCS32,weekday_2003,1759957628,18.0,3.172087,101.684784,0.0
EMU32,2900,1759957627,113.0,4.845365,100.997246,0.0
EMU32,2900,1759957687,112.0,4.842805,100.98013,0.0
SCS32,weekday_2003,1759957699,15.0,3.168685,101.68626,0.0
SCS32,weekday_2003,1759957759,22.0,3.166783,101.68947,0.0
EMU32,2900,1759957747,108.0,4.837575,100.963554,0.0
EMU32,2900,1759957807,111.0,4.826193,100.95179,0.0
SCS32,weekday_2003,1759957819,0.0,3.16513,101.691246,0.0
EMU32,2900,1759957867,111.0,4.809107,100.94958,0.0
SCS32,weekday_2003,1759957879,35.0,3.163358,101.69202,0.0
EMU32,2900,1759957927,108.0,4.796503,100.937935,0.0
SCS32,weekday_2003,1759957939,36.0,3.156115,101.69375,0.0
EMU32,2900,1759957987,82.0,4.780747,100.93523,0.0
SCS32,weekday_2003,1759957999,0.0,3.153867,101.69248,0.0
EMU32,2900,1759958047,0.0,4.77618,100.93184,0.0
SCS32,weekday_2003,1759958059,20.0,3.151995,101.69116,0.0
EMU32,2900,1759958107,19.0,4.776017,100.93149,0.0
SCS32,weekday_2003,1759958119,30.0,3.1475,101.69102,0.0
SCS32,weekday_2003,1759958179,17.0,3.144282,101.69306,0.0
EMU32,2900,1759958180,92.0,4.775518,100.91682,0.0
EMU32,2900,1759958240,96.0,4.775627,100.9024,0.0
SCS32,weekday_2003,1759958239,20.0,3.14088,101.694115,0.0
EMU32,2900,1759958300,109.0,4.771833,100.88703,0.0
SCS32,weekday_2003,1759958299,0.0,3.139132,101.69365,0.0
EMU32,2900,1759958360,107.0,4.773757,100.87016,0.0
SCS32,weekday_2003,1759958359,16.0,3.13722,101.69193,0.0
EMU32,2900,1759958390,80.0,4.776995,100.863205,0.0
SCS32,weekday_2003,1759958389,14.0,3.136677,101.69054,0.0
SCS05,2941,1759958441,20.0,6.661437,100.31865,0.0
EMU32,2900,1759958450,0.0,4.778153,100.85727,0.0
SCS32,weekday_2003,1759958449,0.0,3.136192,101.68935,0.0
SCS05,2941,1759958501,44.0,6.657622,100.313065,0.0
EMU32,2900,1759958510,71.0,4.77887,100.85347,0.0
SCS32,weekday_2003,1759958509,0.0,3.136192,101.68935,0.0
SCS32,weekday_2003,1759958599,24.0,3.131362,101.68247,0.0
SCS05,2941,1759958601,113.0,6.64903,100.29821,0.0
EMU32,2900,1759958600,111.0,4.775983,100.82963,0.0
SCS32,weekday_2003,1759958659,18.0,3.12798,101.67983,0.0
SCS05,2941,1759958661,36.0,6.640885,100.28596,0.0
EMU32,2900,1759958660,0.0,4.776125,100.822945,0.0
SCS32,weekday_2003,1759958719,18.0,3.124898,101.6782,0.0
SCS05,2941,1759958721,22.0,6.63842,100.282646,0.0
EMU32,2900,1759958720,112.0,4.77747,100.79541,0.0
SCS05,2941,1759958781,24.0,6.635802,100.27912,0.0
EMU32,2900,1759958780,111.0,4.782608,100.778534,0.0
SCS32,weekday_2003,1759958779,27.0,3.119777,101.67873,0.0
SCS05,2941,1759958801,23.0,6.634937,100.277954,0.0
SCS32,weekday_2003,1759958809,1.0,3.118045,101.67898,0.0
EMU32,2900,1759958810,114.0,4.785212,100.76994,0.0
SCS05,2941,1759958861,21.0,6.63244,100.27461,0.0
EMU32,2900,1759958870,112.0,4.794058,100.75491,0.0
SCS32,weekday_2003,1759958869,0.0,3.118002,101.67898,0.0
SCS05,2941,1759958921,19.0,6.630127,100.27151,0.0
SCS32,weekday_2003,1759958929,28.0,3.116007,101.67952,0.0
EMU32,2900,1759958930,109.0,4.806468,100.74286,0.0
SCS32,weekday_2003,1759959019,0.0,3.113177,101.68207,0.0
EMU32,2900,1759959017,106.0,4.82967,100.73391,0.0
SCS05,2941,1759959021,117.0,6.6089,100.263596,0.0
SCS32,weekday_2003,1759959079,34.0,3.112643,101.685356,0.0
EMU32,2900,1759959077,95.0,4.843462,100.72842,0.0
SCS05,2941,1759959081,114.0,6.590888,100.26308,0.0
SCS05,2941,1759959141,118.0,6.573067,100.25964,0.0
SCS32,weekday_2003,1759959139,53.0,3.108828,101.69224,0.0
EMU32,2900,1759959137,26.0,4.85245,100.73166,0.0
SCS05,2941,1759959201,114.0,6.554627,100.25966,0.0
SCS32,weekday_2003,1759959199,40.0,3.103098,101.699356,0.0
EMU32,2900,1759959197,5.0,4.85298,100.73226,0.0
SCS32,weekday_2003,1759959259,18.0,3.100033,101.703186,0.0
