vehicle_id,trip_id,timestamp,speed,lat,lon,bearing
ETS207,9052,1765814473,86.0,4.30725,101.14737,0.0
SCS25,weekday_2067,1765814466,101.0,2.757703,101.8143,0.0
DMU10(D6120),59,1765814465,65.0,4.350227,101.91768,0.0
ETS214,9278,1765814460,4.0,3.68482,101.51847,0.0
ETS218,9180,1765814451,110.0,5.276002,100.479126,0.0
ETS218,9180,1765814511,103.0,5.292915,100.48328,0.0
DMU10(D6120),59,1765814525,64.0,4.34012,101.91703,0.0
ETS214,9278,1765814520,0.0,3.684817,101.51848,0.0
SCS25,weekday_2067,1765814526,16.0,2.754907,101.82373,0.0
ETS207,9052,1765814503,130.0,4.313725,101.14145,0.0
ETS218,9180,1765814571,130.0,5.309093,100.47637,0.0
ETS207,9052,1765814593,133.0,4.339087,101.12234,0.0
SCS25,weekday_2067,1765814586,0.0,2.753923,101.827286,0.0
ETS214,9278,1765814580,0.0,3.685345,101.51804,0.0
DMU10(D6120),59,1765814555,69.0,4.334747,101.917656,0.0
ETS218,9180,1765814661,124.0,5.339428,100.47,0.0
SCS25,weekday_2067,1765814646,26.0,2.75339,101.82926,0.0
DMU10(D6120),59,1765814645,74.0,4.317745,101.91917,0.0
ETS214,9278,1765814640,0.0,3.685345,101.51804,0.0
ETS207,9052,1765814623,134.0,4.347763,101.11641,0.0
DMU10(D6120),59,1765814675,76.0,4.311512,101.919235,0.0
ETS207,9052,1765814683,138.0,4.36414,101.104164,0.0
SCS25,weekday_2067,1765814686,23.0,2.752663,101.83171,0.0
ETS214,9278,1765814700,0.0,3.685345,101.51804,0.0
ETS218,9180,1765814691,111.0,5.34846,100.46806,0.0
ETS218,9180,1765814721,113.0,5.356412,100.46427,0.0
ETS207,9052,1765814743,134.0,4.38122,101.09174,0.0
ETS214,9278,1765814730,0.0,3.685345,101.51804,0.0
SCS25,weekday_2067,1765814706,26.0,2.752245,101.83318,0.0
DMU10(D6120),59,1765814705,69.0,4.30578,101.921,0.0
DMU10(D6120),59,1765814765,46.0,4.295283,101.92153,0.0
ETS207,9052,1765814773,131.0,4.389765,101.08596,0.0
ETS218,9180,1765814781,75.0,5.365697,100.45195,0.0
ETS214,9278,1765814790,115.0,3.722138,101.46926,0.0
SCS25,weekday_2067,1765814786,110.0,2.747407,101.850395,0.0
SCS25,weekday_2067,1765814866,54.0,2.741577,101.87121,0.0
ETS214,9278,1765814880,92.0,3.738122,101.45521,0.0
DMU10(D6120),59,1765814885,57.0,4.289557,101.92151,0.0
ETS218,9180,1765814901,0.0,5.366462,100.448006,0.0
ETS207,9052,1765814893,131.0,4.425795,101.06608,0.0
SCS25,weekday_2067,1765814946,65.0,2.740177,101.876175,0.0
ETS218,9180,1765814961,0.0,5.36659,100.44768,0.0
ETS207,9052,1765814953,111.0,4.442835,101.05709,0.0
DMU10(D6120),59,1765814945,72.0,4.278778,101.920296,0.0
ETS214,9278,1765814940,116.0,3.751495,101.44468,0.0
ETS207,9052,1765814983,96.0,4.450248,101.053734,0.0
ETS218,9180,1765814991,6.0,5.366788,100.4459,0.0
ETS214,9278,1765815000,118.0,3.765657,101.43583,0.0
SCS25,weekday_2067,1765815006,84.0,2.74056,101.88846,0.0
DMU10(D6120),59,1765815005,71.0,4.267912,101.92427,0.0
SCS25,weekday_2067,1765815046,88.0,2.73667,101.895004,0.0
ETS218,9180,1765815051,92.0,5.363127,100.43301,0.0
DMU10(D6120),59,1765815035,55.0,4.262903,101.92574,0.0
ETS214,9278,1765815060,116.0,3.784163,101.4352,0.0
ETS207,9052,1765815073,0.0,4.459275,101.049706,0.0
ETS207,9052,1765815073,0.0,4.459275,101.049706,0.0
ETS214,9278,1765815090,107.0,3.792363,101.43252,0.0
SCS25,weekday_2067,1765815086,101.0,2.72815,101.90111,0.0
